ID	B.cells.naive	B.cells.memory	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.gamma.delta	NK.cells	Monocytes
Sample_002	0.1236	0.0296	0.2236	0.1096	0.0943	0.0281	0.0544	0.1658	0.171
Sample_006	0.0333	0.0183	0.3205	0.3257	0.1167	0.0168	0.0228	0.089	0.057
Sample_019	0.1509	0.0407	0.1786	0.0453	0.0663	0.0169	0.1249	0.2964	0.0799
Sample_023	0.1677	0.0295	0.0869	0.0753	0.2754	0.017	0.0064	0.1711	0.1708
Sample_026	0.084	0.0469	0.2798	0.0898	0.2117	0.0192	0.0559	0.0788	0.1338
Sample_027	0.1162	0.0416	0.2037	0.1789	0.1139	0.0236	0.0755	0.1418	0.1047
Sample_030	0.0331	0.0355	0.2422	0.2548	2e-04	0.018	0.1494	0.1081	0.1587
Sample_034	0.0743	0.0089	0.0984	0.3452	0.1086	0.0212	0.0175	0.1393	0.1867
Sample_040	0.0969	0.019	0.0687	0.2056	0.1708	0.0563	0.0112	0.1006	0.2711
Sample_041	0.0565	0.0144	0.0689	0.3957	0.1521	0.0719	0.0048	0.1471	0.0886
Sample_042	0.0033	0.0021	0.0889	0.1042	0.0506	0.0323	0.0364	0.237	0.4452
Sample_043	0.0243	0.0161	0.1005	0.294	0.2035	0.0296	0.0043	0.1551	0.1727
Sample_045	0.0382	0.007	0.191	0.3141	0.0942	0.0174	0.0867	0.0956	0.1558
Sample_047	0.0329	0.0129	0.1999	0.2417	0.1429	0.0181	0.0162	0.1887	0.1467
Sample_054	0.0426	0.0196	0.1955	0.3623	0.1434	0.0225	0.0658	0.0424	0.106
Sample_055	0.0254	0.01	0.1467	0.283	0.1645	0.0343	0.0049	0.128	0.2034
Sample_057	0.0458	0.0077	0.3611	0.3061	0.0999	0.023	0.0414	0.0743	0.0409
Sample_058	0.0451	0.0083	0.3313	0.3266	0.1166	0.0182	0.0463	0.0679	0.0397
Sample_060	0.0217	0.0039	0.2482	0.208	0.2615	0.0303	0.0629	0.066	0.0976
Sample_061	0.0514	0.01	0.1289	0.2648	0.2327	0.0677	0.0181	0.0784	0.1479
