TR:mock:CellLine,TR:IL15,TR:PDGF,TR:PDGFRi,DA:Apoptosis,DA:IL15R,DA:PDGFR,DA:PI3K,DA:SPHK,DA:sFas,DA:Fas,DA:DISC,DA:Caspase,DV:Apoptosis,DV:IL15R,DV:PDGFR,DV:PI3K,DV:SPHK,DV:sFas,DV:Fas,DV:DISC,DV:Caspase
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,5,5,5,5,5,5,5,5,5,0.29919726287196,0,0.0228862210936029,0,0,0.073595665115475,0.966284691112808,0.867171470286156,0.994449918234846
1,0,1,0,5,5,5,5,5,5,5,5,5,0.406844571138143,0.0240010587678597,0.908585617101732,0.972048695743149,0.919653736392599,1,1,1,0.919639523871186
1,1,1,1,5,5,5,5,5,5,5,5,5,0.437703445218559,1,0,0,0,0,0.907793871097028,0.946644595604354,0.918869200368362
1,1,0,0,5,5,5,5,5,5,5,5,5,0.273091563737631,0.95791234909269,0.0245278782382533,0.0102548275717631,0,0,0.960767632234668,0.913554530526883,0.947253041419518
1,1,1,0,5,5,5,5,5,5,5,5,5,0.0830533965683534,0.963659916699921,0.962359967489048,1,0.972701581246814,0.98890694666213,0.0242541558481572,0.0444208895357317,0.00725778711598608
1,0,0,0,10,10,10,10,10,10,10,10,10,0.65321699427551,0.0443254646887191,0,0,0,0,0.955413136512364,1,0.953361165629078
1,0,1,0,10,10,10,10,10,10,10,10,10,0.654172835992962,0.052337140161939,1,1,0.974662689742541,0.968984085161197,1,0.976140957303163,1
1,1,1,1,10,10,10,10,10,10,10,10,10,0.658607279360083,0.916032462438095,0.0582224201774584,0.0346622451756362,0,0.0586914674745522,1,0.911933235224596,1
1,1,0,0,10,10,10,10,10,10,10,10,10,0.686709348311227,0.974726154538522,0.0622121934026827,0.0253678893821511,0.0492532887275266,0.0126227642886483,1,0.969754484923616,0.977962761026034
1,1,1,0,10,10,10,10,10,10,10,10,10,0,1,0.931618452824089,0.92005150689784,1,1,0.0126154036337712,0.0333403716914564,0.0326637308622306
1,0,0,0,30,30,30,30,30,30,30,30,30,1,0,0.00587714265510086,0,0,0,1,1,1
1,0,1,0,30,30,30,30,30,30,30,30,30,0.978663968698271,0,1,0.978611826397848,1,0.90056638258061,0.962119782863587,1,0.994779119208155
1,1,1,1,30,30,30,30,30,30,30,30,30,0.98112322444452,1,0,0,0,0.0312381259511825,0.991492697634837,1,1
1,1,0,0,30,30,30,30,30,30,30,30,30,0.978820762569898,1,0,0,0.00200575011447477,0.0113895838304077,0.943179648135214,1,1
1,1,1,0,30,30,30,30,30,30,30,30,30,0,1,1,0.978977827506251,1,1,0,0.0799249710696901,0
