GENE	Patient_1
LAMA1	18.2832828244128
MUC6	0
DDX19B	3.58934403792231
AVPR2	16.1082630753043
KIF3B	18.85121527531
AFF3	16.3418089314444
DNASE1L1	0
ASB4	0
SCN2A	14.2197206208586
PNPLA6	19.5864440009264
FAT3	12.4051787003596
DENND3	15.6907455426074
ENPEP	12.243578643147
DGKI	14.2366271472482
NFATC4	0
OR2L13	10.3966475904886
FAM122C	0
GPR112	0
OR2A14	9.90415439598397
DNAH8	5.15560757871302
SLC4A5	12.4336297749156
TGFB1I1	17.2748876951314
GPR97	0
GRIA2	8.6555629218177
PCDHB11	0
WDR59	17.142894818603
GDAP1	16.8615594857316
DRP2	11.3325736815778
VCL	19.4658453643479
CCNB3	11.7858202472076
SLC26A9	10.9663107722739
USP31	15.7741641865044
GPM6A	12.700764808098
MED12L	0
GDF9	11.7858202472076
AL137145.1	10.1741267374209
SLC4A10	0
RYR3	11.0933185201387
GCN1L1	5.2771144058571
GNL3L	19.3868981571263
AKAP6	18.6185754916296
AGXT2L2	0
IGSF1	11.1274849687475
MLL2	18.8769455426998
SIVA1	19.2061415507093
SLC8A2	13.5554519083266
FBXO39	12.3239639010275
GPR87	9.81405207185394
C2orf55	11.2280610767084
SMARCD3	19.225383977755
HMCN1	17.4793302988133
NLGN1	16.3470884251792
AC091435.1	0
MUC4	11.9758694578424
DUOX2	7.48376741796077
PRAMEF11	8.3142614766383
TSNARE1	17.0831572612426
ASTN1	13.8932825678674
CDK4	21.6843175888307
OR1C1	9.51944165278604
FKRP	17.4624223904779
WWP1	18.2593065131568
C3orf15	0
SLC27A5	0
TSHR	9.14565198366003
ATP1A3	1.60363465251212
UNC5A	0
RAPGEF5	16.2713207648563
PSG8	10.9093981034791
FRMPD4	0
SCN8A	0
RIMBP3	0.830652862512798
RAI2	0
KCND2	8.77362387083442
FSIP2	0
ZNF607	13.0501513475274
PGR	8.13120875948622
CDH18	11.315494907095
CAP2	0
C10orf72	1.55802757314348
MTMR11	0
PFAS	4.10212058954172
MS4A6E	10.9369691319887
PCDHGA1	14.4218873100786
MAP2K3	19.9459252907115
LONRF2	0
PTCHD1	9.40129553830138
ERCC3	19.2912651464119
NOX4	0
TTC16	9.08604331619133
ACADS	16.9788221599853
RFX6	10.2729446476733
KCNH5	14.1629813156955
LMLN	0
NFATC2IP	17.9446777499658
TP63	10.8432144443598
DNAH10	12.1522246231109
HECW1	0
ZNF569	14.850391973358
SLC6A4	10.2381897521921
DNAH17	13.2877094941565
FAM189A2	15.8311216491807
CX3CL1	0
MECP2	19.1438116696942
FBN2	14.7150664609141
TNR	6.58037013411519
ANKFN1	9.60186176630741
C4orf43	5.05657052324428
RTL1	6.81127835005664
LPHN3	14.4091456040822
RASGRP1	15.2728703112889
SMARCAD1	17.612530182029
NBAS	18.290891819452
LGSN	0
BTNL8	10.2168307201136
CHL1	18.769298720519
NAP1L6	1.70395560639941
THOC2	0
COL4A3	10.8234866635007
PRSS12	0
