Input Sample	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils
Sample_002	0.048169322	0.053030913	0	0.240713092	0	0	0.045920547	0	0.019382525	0	0.110467536	0.017743647	0.326815974	0	0	0.036804327	0	0.016998667	0.083953448	0	0	0
Sample_006	0.060069257	0	0	0.362933316	0	0.106942001	0.029385408	0.023788769	0.114407482	0	0	0.042619029	0.162621242	0	0.001850018	0.027989427	0	0.013183693	0.05067003	0	0	0.003540328
Sample_019	0.111442611	0.027044644	0	0.218236143	0.019699675	0.073244361	0	0	0.002763976	0.010294419	0.255735597	0.033906793	0.242532639	0	0	0.004458755	0	0.0005	0	0.0002	0	0
Sample_023	0.066354441	0.045741426	0	0.061181616	0	0.298009528	0	0.013153478	0.022008164	0	0.02369188	0.043758054	0.32754651	0	0	0.028124385	0	0.015908976	0.054521542	0	0	0
Sample_026	0.035621491	0.045156986	0	0.260152701	0	0.054267885	0.015406753	0.013085054	0.031864742	0	0.022855446	0.016204247	0.397639948	0	0	0.040719803	0	0.021102868	0.045922077	0	0	0
Sample_027	0.066009187	0.019283032	0	0.22998226	0.081369869	0	0.00795688	0	0.025871003	0.05770531	0.019502429	0.056576273	0.273836457	0	0	0.045179715	0	0.013929019	0.102798565	0	0	0
Sample_030	0.024149327	0.044158663	0	0.178083425	0	0.07140951	0.008107345	0.01245563	0.023536301	0.06860134	0.052474886	0.086081498	0.274000228	0.003361663	0	0.044371939	0	0.010956572	0.098251672	0	0	0
Sample_034	0.068620126	0	0	0.1384723	0.069375801	0.119079802	0.035613734	0	0	0	0.055149714	0.063474346	0.320064256	0	0	0.043044383	0	0.01324656	0.073858978	0	0	0
Sample_040	0.14163038	0	0	0.11993286	0.00559462	0	0.094331827	0.027394071	0.028954972	0.013510235	0.030517354	0.068486766	0.288072648	0.006692765	0	0.035476348	0	0.016463369	0.122941786	0	0	0
Sample_041	0.045795371	0	0	0.148855383	0.197696376	0.05144794	0.084425324	0	0.018941724	0.004130511	0.048908169	0.087733122	0.165095421	0.003400225	0	0.043658184	0	0.010205565	0.089706685	0	0	0
Sample_042	0.019554795	0.002186381	0	0.070697808	0	0.06808483	0.076233297	0.023081902	0	0.013663256	0.050792875	0.05745297	0.546386449	0	0	0.027276953	0	0.009257927	0.035330558	0	0	0
Sample_043	0.026756158	0.0003	0	0.094885043	0.159125733	0.144870291	0.061967828	0	0	0	0.048551939	0.097490451	0.190016731	0.0103524	0	0.038910643	0	0.00987317	0.116866396	0	0	0
Sample_045	0.052200819	0.015073493	0	0.204229571	0.141330065	0.156922249	0.023599822	0	0	0.005559169	0	0.123066074	0.151632647	0.003314444	0	0.035792091	0	0.009593664	0.077685891	0	0	0
Sample_047	0.03827158	0.016810825	0	0.141850092	0.154528013	0.094174905	0.074252469	0	0.013861211	0.008479876	0.042793913	0.120856798	0.124491412	0.024924222	0	0.012963146	0	0.008867435	0.1228741	0	0	0
Sample_054	0.055393054	0.027012908	0	0.174043566	0.125021657	0.135569832	0.049279026	0.023860001	0.055045365	0	0	0.037540628	0.231852797	0	0	0.022095715	0	0.011771736	0.051513716	0	0	0
Sample_055	0.021241869	0.013751123	0	0.065651572	0.048345214	0.195292581	0.029715281	0	0.012456045	0	0.022921095	0.061076418	0.375244274	0	0	0.054082678	0	0.01626518	0.078662118	0	0	0.005294553
Sample_057	0.035105844	0.017514488	0	0.478169318	0.062873975	0	0.016917984	0.036261867	0.040048724	0	0	0.064581122	0.13105025	0.00442669	0	0.025644244	0	0.011010082	0.076395413	0	0	0
Sample_058	0.039292803	0.021965719	0	0.323363487	0.162084774	0.071640269	0	0.027202118	0.049650249	0	0	0.078864217	0.164871509	0	0	0.014069743	0	0.007935632	0.03905948	0	0	0
Sample_060	0.055263363	0	0	0.277332492	0	0.090127831	0.066966078	0	0.009299763	0.122081465	0	0.060652371	0.290493018	0	0	0.004191398	0	0.005404657	0	0.015846075	0	0.002341488
Sample_061	0.049047806	0	0	0.172641761	0	0.21228661	0.046623024	0	0.011489564	0.103142963	0	0.051643025	0.227580829	0.017789605	0	0.023247375	0	0.016565348	0.067942091	0	0	0
