Input Sample	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
Sample_002	0.04816932201895094	0.053030913391407496	0	0.24071309245218175	0	0	0.04592054746172262	0	0.019382524669002553	0	0.11046753638481815	0.01774364715044116	0.3268159741078875	0	0	0.03680432688237024	0	0.01699866717434764	0.08395344830686993	0	0	0	0	0.3317589379848535	0.9534537915153768
Sample_006	0.06006925682858405	0	0	0.36293331589207833	0	0.10694200125805779	0.029385408376620344	0.023788769052670536	0.1144074824176558	0	0	0.042619029046224756	0.16262124162455496	0	0.0018500184427355142	0.02798942686378411	0	0.013183692685317872	0.05067002966859782	0	0	0.003540327843118061	0.01	0.29156193033891686	0.9831090679360948
Sample_019	0.11144261123366277	0.027044643672585123	0	0.21823614250377574	0.01969967506358604	0.0732443613562871	0	0	0.002763976277210788	0.010294419012440175	0.25573559665107193	0.03390679319221459	0.24253263901919883	0	0	0.004458755254088869	0	0.0005	0	0.0002	0	0	0	0.506258819223076	0.866163081674265
Sample_023	0.06635444098329912	0.04574142644558872	0	0.06118161561926841	0	0.29800952781403184	0	0.013153478293199242	0.022008163545519127	0	0.023691879668201198	0.04375805443773716	0.32754651042789407	0	0	0.02812438490030371	0	0.015908976243968538	0.05452154162098893	0	0	0	0.01	0.28700185835424413	0.974101291394722
Sample_026	0.03562149093553453	0.04515698562884386	0	0.26015270103683386	0	0.054267884918791656	0.015406752880572583	0.013085054036031636	0.03186474197731184	0	0.02285544591195056	0.016204246981971666	0.3976399482473668	0	0	0.04071980292195061	0	0.02110286789113133	0.045922076631709066	0	0	0	0.01	0.2665642750554212	0.9881890633878619
Sample_027	0.0660091871439733	0.01928303203074517	0	0.2299822603020439	0.08136986949986429	0	0.007956879789219455	0	0.02587100293646	0.05770530952409396	0.01950242924359925	0.05657627272433418	0.273836456528191	0	0	0.045179715421138675	0	0.013929019457234959	0.10279856539910188	0	0	0	0	0.32765550404478355	0.9558913913045274
Sample_030	0.024149326833922628	0.04415866261271096	0	0.1780834252562414	0	0.07140950978652578	0.00810734532351754	0.0124556299561078	0.023536300581890664	0.06860134012247046	0.0524748863423763	0.08608149829601312	0.27400022825914366	0.0033616631217490305	0	0.04437193948173682	0	0.010956572119445571	0.09825167190614828	0	0	0	0	0.44882469719212076	0.8942485642327309
Sample_034	0.06862012579010529	0	0	0.1384723002758706	0.06937580131091164	0.11907980182183313	0.03561373434398357	0	0	0	0.055149713600890514	0.06347434644778788	0.32006425553005347	0	0	0.043044382811051135	0	0.013246560396423537	0.07385897767108923	0	0	0	0	0.3485092847324854	0.9448386446852463
Sample_040	0.14163038044487541	0	0	0.11993285988099152	0.005594620020370348	0	0.09433182666165055	0.02739407096961194	0.028954971711807505	0.013510234798603962	0.03051735411851628	0.0684867659298538	0.2880726477690587	0.006692764575301042	0	0.035476348301044756	0	0.016463369203174896	0.1229417856151393	0	0	0	0.01	0.2959889227080825	0.9653434838228412
Sample_041	0.04579537105929384	0	0	0.1488553825661003	0.19769637566101245	0.051447940002128094	0.08442532400821694	0	0.01894172428872479	0.004130511055680218	0.04890816917021766	0.08773312199295691	0.16509542130244237	0.00340022485072532	0	0.0436581842943579	0	0.01020556480165099	0.08970668494649221	0	0	0	0.01	0.30443194492979786	0.9689877179316232
Sample_042	0.01955479491603833	0.0021863814291445617	0	0.07069780756341934	0	0.06808482967859589	0.07623329672025812	0.023081902037158635	0	0.013663255993785527	0.05079287451977843	0.057452970095522506	0.5463864491373704	0	0	0.027276952521543482	0	0.009257926944627922	0.03533055844275686	0	0	0	0	0.35599620168148893	0.9541931156459885
Sample_043	0.02675615846342915	0.0003	0	0.09488504305716913	0.15912573327227197	0.14487029094743029	0.06196782763305357	0	0	0	0.048551939433463025	0.09749045120180537	0.19001673066343722	0.010352399732049607	0	0.0389106425274241	0	0.009873169634462721	0.1168663958911418	0	0	0	0.01	0.2883499667370487	0.9756438957789327
Sample_045	0.052200818744235225	0.015073492917976772	0	0.20422957092957877	0.1413300646816132	0.156922249468675	0.0235998223014028	0	0	0.005559169170071249	0	0.12306607397320424	0.15163264735805015	0.003314444147635499	0	0.03579209107675576	0	0.00959366406694072	0.07768589116386061	0	0	0	0.01	0.30531850817393685	0.975411116748259
Sample_047	0.038271580467174014	0.01681082511947478	0	0.1418500921771796	0.15452801334679456	0.094174905253325	0.07425246949873314	0	0.01386121080335756	0.008479876111982566	0.04279391272829645	0.12085679843858686	0.12449141164892176	0.02492422206486302	0	0.01296314642268422	0	0.008867435481844392	0.12287410043678217	0	0	0	0.01	0.28089911840901705	0.984663316448029
