B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils
Sample_002	0.0877380166713981	0	0.0634833777278712	0.0577890582665523	0	0	0	0.116677474574525	0	0.103612645665177	0.133794496652263	0	0.238993917145997	0	0.0314234186404954	0	0	0.0691489201793748	0.00955180454132236	0.0168951591413519	0.0708917107936721	0
Sample_006	0.0863967825449415	0	0.0583562321468164	0.0704609835408446	0	0.0890769815308733	0	0.140512780095708	0	0.0135905861778602	0.123485254001313	0	0.163334896923301	0.00256645138850772	0.0388465252385265	0	0	0.0813563389111415	0	0.0611817626443322	0.0708344248558338	0
Sample_019	0.0629949362907208	0.0255611774149859	0.0402206743626801	0.127888065084297	0	0.0209721930679892	0	0.0235524030565358	0	0.0767558334691779	0.344607785738159	0	0.193899947434656	0	0.0459373138263034	0.00240929264422848	0	0.0194406398383526	0.00901043126046567	0	0.00674930651144788	0
Sample_023	0.0926410453680034	0	0.0716132603616018	0	0	0.0371470690055611	0	0.169524328026123	0	0	0.0976364304496478	0.0255671773161882	0.284708282522272	0	0	0	0	0.0865204817350751	0	0.0516415009980963	0.0830004242174312	0
Sample_026	0.0777393153080132	0	0.0909631953576397	0.0347167609581542	0	0	0	0.179200811356306	0	0	0.107011726575293	0.00262330717790277	0.266507739800701	0	0.000171358293048991	0	0	0.0978121917557307	0	0.0574233996451818	0.0858301937720293	0
Sample_027	0.0922508589117501	0	0.0752380909983199	0.0864002662301874	0	0	0	0.146501834791075	0	0.0707630662854797	0.118605379549053	0	0.229951373355113	0	0.00995896183045251	0	0	0.0597244104595727	0	0.0277825490064501	0.0828232085825459	0
Sample_030	0.0431483135781589	0.00328358894227319	0.0503720170435169	0.107381839979949	0	0	0	0.0995698845110831	0	0.111072670028611	0.189875685737155	0	0.313049859130621	0	0.00887764376946779	0	0	0.0391912603555901	0.00468825091071935	0	0.0294889860128557	0
Sample_034	0.0557115076918406	0	0.0805707592484486	0.0133358043761315	0	0.0236242452922644	0	0.192240809275179	0	0	0.145299071268956	0	0.334428280669959	0	0	0	0	0.0583145718007439	0	0.0192403343613604	0.0772346160151159	0
Sample_040	0.0774875690424326	0	0.0930283430020402	0.0143703706222883	0	0	0	0.1804985013378	0	0	0.160885895599422	0.0040683673023536	0.31145325339183	0	0.0125096807806995	0	0	0.059504862217205	0.0220397435612085	0	0.0641534131427207	0
Sample_041	0.0806001526975566	0	0.0672519552715872	0.0344868387422493	0	0.0961297061979737	0	0.149368364830048	0	0.0177487502265586	0.163552779855027	0.0301692542208594	0.153446371184636	0	0.0312063258457624	0.00214217636469619	0.00756331514107213	0.057176345989645	0.0224467191811697	0	0.0867109442511587	0
