B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils
Sample_002	0.067921594391188	0.0656704620397814	0.0615478712272349	0	0	0	0.118770781734872	0	0.101101415594292	0.136227502243029	0	0.242209442993696	0	0.0332759408979756	0	0	0.0704366853753448	0.0106581597801697	0.019652201843975	0.0725279418784421	0
Sample_006	0.0661472758232315	0.0608824552230426	0.0717229342621228	0	0.0925903812710797	0	0.141662229885093	0	0.0111739193942825	0.126379297785457	0	0.166759146017553	0.00168104984124284	0.0407623477785125	0	0	0.0826769579736317	0	0.0650030079987253	0.0725589967460257	0
Sample_019	0.0834096485012527	0.0391352732246305	0.127686240181425	0	0.02138349726461	0	0.0234716817300493	0	0.0765757138495705	0.346096340313897	0	0.195124593280565	0	0.0469150504233007	0.00172366889271568	0	0.0203432585470919	0.0107899857797527	0	0.00734504801113933	0
Sample_023	0.075173882795189	0.0731954149867858	0	0	0.0400357696523817	0	0.170384883642651	0	0	0.101731678162818	0.0227848311306577	0.287395698571257	0	0	0	0	0.0888210711949493	0	0.0559841791303836	0.0844925907329258	0
Sample_026	0.067200956168115	0.0908443097996589	0.0356389067185698	0	0	0	0.180017650571326	0	0	0.110333957711871	0	0.268137879767739	0	0.00146719424861027	0	0	0.0988278050467837	0	0.0607769599663214	0.086754380001004	0
Sample_027	0.0787200836758674	0.0754039136280466	0.0884937950781847	0	0	0	0.147528633433592	0	0.069278858475546	0.12070436087507	0	0.232269224087001	0	0.0114829341389949	0	0	0.0609358916680706	0	0.0312178523655201	0.0839644525741078	0
Sample_030	0.042890011072849	0.0495964441443275	0.107489396869979	0	0	0	0.0995716527776015	0	0.110945804927037	0.190817043581972	0	0.313708539409555	0	0.00951959219395898	0	0	0.0397394471524226	0.00586978920183081	0	0.0298522786684661	0
Sample_034	0.0451041557849336	0.0815688617489868	0.0133894494105782	0	0.0253187368365757	0	0.192788486292	0	0	0.146368776603672	0	0.336097432655141	0	0	0	0	0.059701423155242	4.97764156963676e-05	0.0214908993699498	0.0781220017272241	0
Sample_040	0.0605904545452065	0.094836777210966	0.0164905628928954	0	0	0	0.18228854819154	0	0	0.161336933366625	0.00497117963280012	0.314006356900323	0	0.0141902642839541	0	0	0.0607757046872896	0.0248488079142104	0	0.0656644103741903	0
Sample_041	0.0698114380414813	0.0670843821674824	0.0344890191986613	0	0.0976557305887749	0	0.149646444838039	0	0.0169507929551144	0.166539018501555	0.0293322510420941	0.155459352568675	0	0.0327843529277683	0.00141693408070159	0.00787297454545653	0.0582292383818966	0.0249372714491941	0	0.0877907987131061	0
Sample_042	0.0148902652730201	0.0758873100950735	0	0	0	0	0.140070677279607	0	0.0238041083787838	0.14929015088623	0	0.379917780192118	0	0	0	0	0.0671383308458061	0	0.106159045780393	0.0428423312689689	0
Sample_043	0.0593735506707487	0.0745862787055238	0	0	0.107570113176171	0	0.160963637218697	0	0.0505243855522199	0.124026627618238	0.0368410643893082	0.176181015899376	0.0100437778180703	0.0226815915516113	0	0	0.0492947570699686	0.0261588133325443	0	0.101754386997523	0
Sample_045	0.0867356752980501	0.0746139623527249	0.00714859417008257	0	0.151032097864488	0	0.149144297578009	0	0.0363760078273971	0.107699095913859	0.0242985887891355	0.16463037430402	0.00423361618004443	0.0278217291370932	0	0.000921171374052843	0.0458557702084226	0.0276608093541063	0	0.0918282096485153	0
Sample_047	0.0805069053960477	0.0792341763483695	0	0	0.118180461104944	0	0.183559174200453	0	0.0299801388936147	0.11467758273637	0.0515401615545613	0.108688690254821	0	0.0145043147044411	0	0	0.0549719285622821	0.0211960926554972	0	0.142960373588599	0
Sample_054	0.082918661336906	0.0862219283514142	0.0282479090990562	0	0.0700200600862062	0	0.204854567588361	0	0	0.0529956193185522	0.0402517498221875	0.186440571266122	0.00108873090808694	0.0294508876847769	0	0	0.0809987029910474	0.0323724412169004	0	0.104138170330382	0
Sample_055	0.0266297949848862	0.0973006348931913	0.0237796414856683	0	0	0	0.18622252394538	0	0	0.0949270540140651	0	0.350352392875838	0	0.0148187343864398	0	0	0.068555887612597	0	0.0586880154711853	0.0787253203307488	0
Sample_057	0.0698799117104522	0.0765888915090281	0.148318486107821	0	0	0	0.170110682047961	0	0.00518624102610281	0.139716530063976	0	0.136685106092951	0	0.0390932218740409	0	0	0.066325679184695	0.00395462411637863	0.0439428542257481	0.100197772040844	0
Sample_058	0.0995120696525208	0.0834924371220038	0.00790538937110263	0	0.112085215316072	0	0.18779998801204	0	0	0.0291952664786695	0.0656182961514077	0.12403637924501	0.0139440354514145	0.0248087463212138	0	0.00678576783282602	0.0770155523028615	0.0411228032451881	0.0202216183654077	0.106456435132263	0
Sample_060	0.0582582865862211	0.0658583154619153	0.0424729607930404	0	0.0929583398104192	0	0.128497691112681	0	0.112341356974081	0.100471054098752	0	0.189966738209877	0.00258021513594554	0.0266044141759422	0	0	0.0695170720325832	0.0329365001096965	0.00285356927040069	0.0746834862284447	0
Sample_061	0.0422037956671207	0.0678388450107095	0.0891557526536585	0	0.00804548508361048	0	0.181217908811618	0	0.041559019116857	0.119265950973294	0.0119732254234098	0.250734873855335	0	0.0164807836772187	0	0	0.0590881174655207	0	0.0381364011257583	0.0742998411358887	0
